# Ecoflex30, bending actuator, displacement test.
# wall=7mm, 5 chambers, chamber=[8x8x2]mm, tube=[2,2,7]mm.
# Pressure (N/mm2), Bending Angle (degrees)
0.016428,1.8107
0.016435,1.8107
0.016442,1.8107
0.016449,1.8107
0.016457,1.8107
0.016464,1.8107
0.016471,1.8107
0.016478,1.8107
0.016486,1.8107
0.016493,1.8107
0.0165,1.9105
0.016507,1.8107
0.016514,1.8107
0.016522,1.8107
0.016529,1.9105
0.016536,1.8107
0.016543,1.8107
0.016551,1.9105
0.016558,1.9105
0.016565,1.9105
0.016572,1.9105
0.01658,1.9105
0.016587,1.9105
0.016594,1.9105
0.016601,1.9105
0.016609,1.9105
0.016616,1.9105
0.016623,1.9105
0.01663,1.9105
0.016638,1.9105
0.016645,1.9105
0.016652,1.9105
0.016659,1.9105
0.016667,1.9105
0.016674,1.9105
0.016681,1.9105
0.016688,1.9105
0.016696,1.9105
0.016703,1.9105
0.01671,1.9105
0.016717,1.9105
0.016725,1.9105
0.016732,1.8107
0.016739,1.9105
0.016746,1.9105
0.016754,1.9105
0.016761,1.9105
0.016768,1.9105
0.016775,1.9105
0.016783,1.9105
0.01679,1.9105
0.016797,1.9105
0.016804,1.9105
0.016812,1.9105
0.016819,1.9105
0.016826,1.9105
0.016833,1.9105
0.016841,1.9105
0.016848,1.9105
0.016855,1.9105
0.016862,1.9105
0.01687,1.9105
0.016877,1.9105
0.016884,1.9105
0.016891,1.9105
0.016899,1.9105
0.016906,1.9105
0.016913,1.9105
0.01692,1.9105
0.016928,1.9105
0.016935,1.9105
0.016942,1.9105
0.016949,1.9105
0.016957,1.9105
0.016964,1.9105
0.016971,1.9105
0.016978,1.9105
0.016986,1.9105
0.016993,1.9105
0.017,1.9105
0.017007,1.9105
0.017014,1.9105
0.017022,2.0101
0.017029,1.9105
0.017036,2.0101
0.017043,1.9105
0.017051,1.9105
0.017058,2.0101
0.017065,1.9105
0.017072,2.0101
0.01708,2.0101
0.017087,1.9105
0.017094,2.0101
0.017101,2.0101
0.017109,2.0101
0.017116,2.0101
0.017123,2.0101
0.01713,2.0101
0.017138,2.0101
0.017145,2.0101
0.017152,2.0101
0.017159,2.0101
0.017167,2.0101
0.017174,2.0101
