# Material: Ecoflex 30
# Mullin's Effect: Removed at 40KPa
# Test sample: 1 (8x8w7mm_5 chambers with extra wall length at one end to clamp the sample)
# Time (s), Force (N), Pressure (N/mm2)
4.378,0.063675,0
4.384,0.062962,0
4.393,0.056283,0
4.4,0.059865,0
4.409,0.064083,0
4.421,0.06165,0
4.427,0.059892,0
4.439,0.061501,0
4.451,0.06374,0
4.46,0.061075,0
4.467,0.060189,0
4.476,0.061444,0
4.483,0.057994,0
4.492,0.060498,0
4.499,0.060881,0
4.507,0.063911,0
4.514,0.060081,0
4.523,0.056125,0
4.529,0.059618,0
4.539,0.064199,0
4.552,0.057519,0
4.581,0.056861,0
4.586,0.061512,0
4.598,0.06241,0
4.604,0.062381,0
4.615,0.059346,0
4.627,0.059542,0
4.634,0.062356,0
4.646,0.057804,0
4.652,0.059076,0
4.662,0.057823,0
4.668,0.059662,0
4.678,0.062405,0
4.684,0.063174,0
4.693,0.05661,0
4.724,0.060559,0
4.73,0.058475,0
4.74,0.06318,0
4.747,0.059968,0
4.756,0.063241,0
4.762,0.059894,0
4.772,0.05847,0
4.778,0.06033,0
4.787,0.064847,0
4.792,0.058226,0
4.803,0.057781,0
4.814,0.059168,0
4.844,0.063544,0
4.85,0.060023,0
4.86,0.059841,0
4.866,0.061742,0
4.875,0.059478,0
4.882,0.061997,0
4.89,0.056896,0
4.896,0.060791,0
4.907,0.056969,0
4.918,0.060799,0
4.928,0.064503,0
4.934,0.06062,0
4.944,0.058304,0
4.956,0.05746,0
4.963,0.059724,0
4.974,0.059259,0
4.986,0.058536,0
4.996,0.056959,0
5.002,0.059062,0
5.012,0.058924,0
5.018,0.060004,0
5.027,0.063452,0
5.039,0.06098,0
5.045,0.062933,0
5.057,0.061507,0
5.064,0.05955,0
5.073,0.059468,0
5.079,0.05983,0
5.087,0.062217,0
5.092,0.061463,0
5.102,0.059245,0
5.114,0.056931,0
5.124,0.057949,0
5.131,0.057928,0
5.139,0.057673,0
5.145,0.061335,0
5.154,0.057584,0
5.16,0.060733,0
5.169,0.060865,0
5.175,0.060953,0
5.185,0.058503,0
5.191,0.056112,0
5.2,0.063234,0
5.206,0.060875,0
5.216,0.058326,0
5.222,0.061104,0
5.231,0.062088,0
5.237,0.059772,0
5.247,0.058247,0
5.253,0.061254,0
5.262,0.059738,0
5.268,0.060368,0
5.277,0.063524,0
5.289,0.061498,0
5.296,0.063991,0
5.307,0.060943,0
5.319,0.058397,0
5.328,0.063045,0
5.334,0.063215,0
5.343,0.059763,0
5.35,0.058321,0
5.359,0.060637,0
5.371,0.06501,0
5.377,0.061519,0
5.389,0.061616,0
5.401,0.061044,0
5.411,0.064956,0
5.417,0.058424,0
5.426,0.058006,0
5.433,0.05961,0
5.442,0.060416,0
5.454,0.061848,0
5.46,0.055493,0
5.473,0.062606,0
5.485,0.056773,0
5.491,0.05921,0
5.503,0.060694,0
5.509,0.060893,0
5.519,0.064508,0
5.524,0.062059,0
5.535,0.057683,0
5.546,0.057143,0
5.56,0.065901,0
5.585,0.062446,0
5.59,0.056395,0
5.602,0.058194,0
5.608,0.061152,0
5.619,0.064755,0
5.625,0.061371,0
5.635,0.056965,0
5.641,0.05635,0
5.652,0.062004,0
5.663,0.059325,0
5.669,0.057622,0
5.679,0.064385,0
5.709,0.061559,0
5.715,0.063037,0
5.724,0.061335,0
5.73,0.057195,0
5.74,0.065162,0
5.753,0.061803,0
5.759,0.059987,0
5.771,0.062094,0
5.777,0.060206,0
5.787,0.063803,0
5.792,0.058637,0
5.803,0.059025,0
5.831,0.059587,0
5.836,0.062736,0
5.847,0.06263,0
5.853,0.062349,0
5.864,0.061777,0
5.875,0.05772,0
5.882,0.056527,0
5.891,0.057165,0
5.897,0.061643,0
5.906,0.061523,0
5.912,0.059432,0
5.923,0.059755,0
5.952,0.058023,0
5.957,0.060093,0
5.969,0.061253,0
5.975,0.060851,0
5.985,0.059129,0
5.991,0.057315,0
0.003,0.062408,0.01
0.009,0.059045,0.01
0.021,0.06133,0.01
0.028,0.063647,0.01
0.039,0.062457,0.01
0.054,0.061612,0.01
0.086,0.079176,0.01
0.092,0.099982,0.01
0.104,0.099242,0.01
0.11,0.08594,0.01
0.12,0.06896,0.01
0.126,0.08453,0.01
0.137,0.084203,0.01
0.143,0.088206,0.01
0.155,0.081063,0.01
0.161,0.080823,0.01
0.17,0.082769,0.01
0.175,0.08018,0.01
0.185,0.07919,0.01
0.196,0.079999,0.01
0.207,0.079273,0.01
0.219,0.079946,0.01
0.229,0.084268,0.01
0.24,0.084063,0.01
0.252,0.082198,0.01
0.262,0.078065,0.01
0.268,0.078566,0.01
0.277,0.079645,0.01
0.284,0.081851,0.01
0.292,0.079241,0.01
0.299,0.0793,0.01
0.308,0.079772,0.01
0.314,0.076877,0.01
0.323,0.078415,0.01
0.329,0.078761,0.01
0.338,0.07744,0.01
0.344,0.082848,0.01
0.352,0.079972,0.01
0.358,0.081395,0.01
0.368,0.085273,0.01
0.374,0.079589,0.01
0.384,0.077634,0.01
0.39,0.075193,0.01
0.4,0.081293,0.01
0.406,0.077943,0.01
0.416,0.075804,0.01
0.422,0.075031,0.01
0.431,0.075461,0.01
0.437,0.078068,0.01
0.447,0.072251,0.01
0.453,0.077125,0.01
0.462,0.074208,0.01
0.468,0.073289,0.01
0.477,0.077714,0.01
0.489,0.072984,0.01
0.496,0.077018,0.01
0.507,0.073068,0.01
0.519,0.074319,0.01
0.528,0.076132,0.01
0.534,0.077458,0.01
0.544,0.071906,0.01
0.556,0.069433,0.01
0.562,0.072663,0.01
0.574,0.072204,0.01
0.586,0.070692,0.01
0.596,0.074647,0.01
0.602,0.072659,0.01
0.611,0.074711,0.01
0.617,0.072898,0.01
0.626,0.071802,0.01
0.633,0.07245,0.01
0.642,0.071128,0.01
0.649,0.072859,0.01
0.657,0.075108,0.01
0.668,0.070443,0.01
0.679,0.076915,0.01
0.69,0.073821,0.01
0.702,0.07497,0.01
0.708,0.071206,0.01
0.72,0.076186,0.01
0.731,0.07474,0.01
0.742,0.076834,0.01
0.753,0.073539,0.01
0.764,0.073666,0.01
0.774,0.071101,0.01
0.781,0.071686,0.01
0.79,0.07313,0.01
0.805,0.073366,0.01
0.817,0.076014,0.01
0.828,0.072441,0.01
0.834,0.077929,0.01
0.844,0.072336,0.01
0.85,0.071313,0.01
0.859,0.076662,0.01
0.866,0.073154,0.01
0.874,0.072584,0.01
0.89,0.073176,0.01
0.915,0.075955,0.01
0.921,0.073587,0.01
0.931,0.069668,0.01
0.937,0.07478,0.01
0.948,0.071891,0.01
0.954,0.077789,0.01
0.964,0.072934,0.01
0.97,0.072176,0.01
0.981,0.07554,0.01
0.991,0.075131,0.01
0.997,0.073522,0.01
1.006,0.071064,0.01
1.037,0.074369,0.01
1.042,0.070124,0.01
1.053,0.073282,0.01
1.059,0.075125,0.01
1.069,0.073045,0.01
1.075,0.076345,0.01
1.085,0.070376,0.01
1.09,0.073791,0.01
1.101,0.075905,0.01
1.112,0.072242,0.01
1.122,0.072908,0.01
1.128,0.073074,0.01
1.138,0.076353,0.01
1.167,0.07363,0.01
1.172,0.070393,0.01
1.183,0.073889,0.01
1.193,0.073764,0.01
1.2,0.072985,0.01
1.208,0.073415,0.01
1.214,0.075684,0.01
1.223,0.071787,0.01
1.23,0.07365,0.01
1.239,0.075638,0.01
1.245,0.07389,0.01
1.254,0.070098,0.01
1.26,0.072283,0.01
1.269,0.076704,0.01
1.275,0.077057,0.01
1.285,0.071297,0.01
1.291,0.070718,0.01
1.3,0.076999,0.01
1.306,0.07253,0.01
1.316,0.073653,0.01
1.322,0.072642,0.01
1.331,0.071716,0.01
1.337,0.073906,0.01
1.347,0.073455,0.01
1.353,0.072512,0.01
1.362,0.075516,0.01
1.368,0.072453,0.01
1.377,0.075899,0.01
1.389,0.071102,0.01
1.396,0.078075,0.01
1.407,0.071867,0.01
1.419,0.07428,0.01
1.429,0.071879,0.01
1.435,0.076625,0.01
1.444,0.071914,0.01
1.45,0.071185,0.01
1.459,0.076716,0.01
1.466,0.072789,0.01
1.475,0.07235,0.01
1.481,0.072305,0.01
1.49,0.070376,0.01
