# Material: Ecoflex 30
# Mullin's Effect: Removed at 40KPa
# Test sample: 1 (8x8w7mm_7 chambers with extra wall length at one end to clamp the sample)
# Time (s), Force (N), Pressure (N/mm2) 
0.375,0.0539,0.01
0.384,0.034304,0.01
0.39,0.03121,0.01
0.4,0.05088,0.01
0.406,0.019998,0.01
0.415,0.038006,0.01
0.42,0.026751,0.01
0.43,0.017281,0.01
0.441,0.055356,0.01
0.452,0.022684,0.01
0.463,0.033689,0.01
0.473,0.023802,0.01
0.484,0.03785,0.01
0.495,0.025137,0.01
0.505,0.024379,0.01
0.511,0.025861,0.01
0.52,0.041237,0.01
0.525,0.021832,0.01
0.535,0.038257,0.01
0.54,0.027017,0.01
0.55,0.019441,0.01
0.561,0.048894,0.01
0.571,0.019204,0.01
0.577,0.042875,0.01
0.585,0.02052,0.01
0.59,0.032383,0.01
0.6,0.047003,0.01
0.61,0.019775,0.01
0.62,0.050779,0.01
0.631,0.019492,0.01
0.642,0.038163,0.01
0.654,0.017897,0.01
0.66,0.0259,0.01
0.669,0.019192,0.01
0.675,0.04826,0.01
0.684,0.020666,0.01
0.69,0.02527,0.01
0.7,0.048703,0.01
0.706,0.019266,0.01
0.715,0.03918,0.01
0.721,0.020045,0.01
0.73,0.021588,0.01
0.736,0.047291,0.01
0.746,0.017458,0.01
0.752,0.036,0.01
0.76,0.032059,0.01
0.766,0.017269,0.01
0.775,0.040376,0.01
0.782,0.020358,0.01
0.79,0.017714,0.01
0.796,0.051107,0.01
0.805,0.017416,0.01
0.811,0.029748,0.01
0.82,0.043346,0.01
0.826,0.019161,0.01
0.835,0.033506,0.01
0.841,0.023249,0.01
0.851,0.016019,0.01
0.857,0.04297,0.01
0.866,0.021108,0.01
0.872,0.028969,0.01
0.882,0.03876,0.01
0.888,0.01815,0.01
0.897,0.04264,0.01
0.903,0.019212,0.01
0.912,0.041597,0.01
0.918,0.038357,0.01
0.926,0.019055,0.01
0.932,0.037292,0.01
0.941,0.03649,0.01
0.948,0.018756,0.01
0.956,0.04366,0.01
0.963,0.017654,0.01
0.971,0.041073,0.01
0.977,0.039316,0.01
0.986,0.015617,0.01
0.992,0.033596,0.01
1.001,0.042552,0.01
1.007,0.016194,0.01
1.017,0.042509,0.01
1.023,0.015699,0.01
1.032,0.02067,0.01
1.038,0.039983,0.01
1.047,0.017294,0.01
1.053,0.046516,0.01
1.062,0.033951,0.01
1.068,0.018364,0.01
1.076,0.046563,0.01
1.082,0.019645,0.01
1.091,0.018972,0.01
1.098,0.027015,0.01
1.106,0.018957,0.01
1.112,0.035886,0.01
1.121,0.03225,0.01
1.127,0.017636,0.01
1.136,0.045445,0.01
1.142,0.018099,0.01
1.151,0.017403,0.01
1.157,0.037584,0.01
1.167,0.015386,0.01
1.173,0.049206,0.01
1.182,0.01857,0.01
1.188,0.017223,0.01
1.197,0.040688,0.01
1.203,0.017314,0.01
1.213,0.017106,0.01
1.219,0.032399,0.01
1.229,0.017855,0.01
1.244,0.043872,0.01
1.25,0.02359,0.01
1.261,0.042062,0.01
1.271,0.018352,0.01
1.283,0.039868,0.01
1.293,0.020722,0.01
1.299,0.032114,0.01
1.308,0.018365,0.01
1.315,0.051114,0.01
1.323,0.017085,0.01
1.353,0.036908,0.01
1.358,0.033079,0.01
1.369,0.016449,0.01
1.382,0.047834,0.01
1.389,0.015484,0.01
1.401,0.043529,0.01
1.407,0.016645,0.01
1.417,0.044426,0.01
1.423,0.017662,0.01
1.432,0.033061,0.01
1.438,0.036457,0.01
1.447,0.01822,0.01
1.453,0.044471,0.01
1.463,0.037204,0.01
1.469,0.019721,0.01
1.478,0.045125,0.01
1.484,0.022158,0.01
1.493,0.027382,0.01
1.499,0.026749,0.01
1.508,0.016866,0.01
1.515,0.047399,0.01
1.523,0.020891,0.01
1.529,0.016869,0.01
1.538,0.047058,0.01
1.544,0.018243,0.01
1.553,0.026303,0.01
1.559,0.031135,0.01
1.568,0.015243,0.01
1.574,0.048002,0.01
1.584,0.022542,0.01
1.589,0.023764,0.01
1.599,0.042247,0.01
1.604,0.015659,0.01
1.614,0.022817,0.01
1.625,0.025772,0.01
1.636,0.032651,0.01
1.647,0.018031,0.01
1.657,0.053753,0.01
1.663,0.01743,0.01
1.672,0.020856,0.01
1.678,0.035161,0.01
1.687,0.01714,0.01
1.692,0.041081,0.01
1.702,0.041547,0.01
1.707,0.016817,0.01
1.717,0.03456,0.01
1.728,0.01858,0.01
1.737,0.049827,0.01
1.748,0.016018,0.01
1.759,0.047212,0.01
1.77,0.02135,0.01
1.781,0.047776,0.01
1.79,0.014292,0.01
1.796,0.042166,0.01
1.805,0.019273,0.01
1.817,0.033181,0.01
1.828,0.019174,0.01
1.839,0.048328,0.01
1.851,0.016714,0.01
1.862,0.04369,0.01
1.868,0.019233,0.01
1.877,0.045619,0.01
1.883,0.01553,0.01
1.891,0.017105,0.01
1.898,0.03522,0.01
1.906,0.016643,0.01
1.913,0.031842,0.01
1.922,0.028365,0.01
1.934,0.015705,0.01
1.94,0.026546,0.01
1.952,0.015237,0.01
1.963,0.037043,0.01
1.974,0.018599,0.01
1.985,0.017867,0.01
1.996,0.034678,0.01
2.007,0.019941,0.01
2.018,0.051013,0.01
2.029,0.018546,0.01
2.039,0.044592,0.01
2.046,0.018805,0.01
2.054,0.033665,0.01
2.06,0.024782,0.01
2.069,0.017081,0.01
2.075,0.054346,0.01
2.084,0.017454,0.01
2.089,0.018716,0.01
2.1,0.040839,0.01
2.11,0.017147,0.01
2.116,0.038357,0.01
2.125,0.015895,0.01
2.132,0.032186,0.01
2.14,0.039555,0.01
2.146,0.015809,0.01
2.155,0.036066,0.01
2.161,0.014693,0.01
2.17,0.014973,0.01
2.176,0.048075,0.01
2.185,0.022015,0.01
2.191,0.036791,0.01
2.201,0.0289,0.01
2.207,0.015818,0.01
2.216,0.045069,0.01
2.222,0.019887,0.01
2.231,0.015289,0.01
2.237,0.039639,0.01
2.246,0.017962,0.01
2.251,0.032338,0.01
2.262,0.037049,0.01
2.273,0.016868,0.01
2.284,0.034405,0.01
2.296,0.025865,0.01
2.306,0.014618,0.01
2.336,0.040074,0.01
2.341,0.01711,0.01
2.352,0.015215,0.01
2.358,0.03515,0.01
2.367,0.016846,0.01
2.373,0.036105,0.01
2.383,0.024832,0.01
2.389,0.021781,0.01
2.399,0.045788,0.01
2.405,0.017201,0.01
2.415,0.037988,0.01
2.421,0.019389,0.01
2.431,0.025405,0.01
2.457,0.037141,0.01
2.463,0.016991,0.01
2.472,0.020641,0.01
2.478,0.039706,0.01
2.487,0.017737,0.01
